,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
0,Business and administration,International Business,AC120,,,,,,,,8,American College,,,
1,Humanities (except languages),Liberal Arts,AC137,,,,,,,,8,American College,,,
2,Arts,"First Year Art & Design (Common Entry,portfolio)",AD101,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
3,Arts,Graphic Design and Moving Image Design (portfolio),AD102,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
4,Arts,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
5,Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
6,Arts,Fine Art (portfolio),AD204,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
7,Arts,Fashion Design (portfolio),AD211,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
8,Arts,Product Design (portfolio),AD212,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
9,Arts,Visual Culture,AD215,,,,,,,,8,National College of Art and Design,,,
10,Arts,Illustration (portfolio),AD217,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
11,Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
45,Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL801,,,,,,,,8,Athlone Institute of Technology,,,
46,Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL802,,,,,,,,8,Athlone Institute of Technology,,,
47,Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL803,,,,,,,,8,Athlone Institute of Technology,,,
48,Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL805,,,,,,,,8,Athlone Institute of Technology,,,
49,Architecture and construction,Quantity Surveying,AL810,,,,,,,,8,Athlone Institute of Technology,,,
50,Architecture and construction,Civil Engineering,AL811,,,,,,,,8,Athlone Institute of Technology,,,
51,Manufacturing and processing,Mechanical and Polymer Engineering,AL820,,,,,,,,8,Athlone Institute of Technology,,,
52,Health,General Nursing,AL830,,,,,,,,8,Athlone Institute of Technology,,,
53,Health,Psychiatric Nursing,AL832,,*,,,,,,8,Athlone Institute of Technology,,,
54,Health,Nutrition and Health Science,AL836,,,,,,,,8,Athlone Institute of Technology,,,
55,Personal services,Sports Science with Exercise Physiology,AL837,,,,,,,,8,Athlone Institute of Technology,,,
56,Biological and related sciences,Biotechnology,AL838,,,,,,,,8,Athlone Institute of Technology,,,
57,Biological and related sciences,Microbiology,AL839,,,,,,,,8,Athlone Institute of Technology,,,
58,Physical sciences,Pharmaceutical Sciences,AL840,,,,,,,,8,Athlone Institute of Technology,,,
59,Health,Athletic and Rehabilitation Therapy,AL841,,,,,,,,8,Athlone Institute of Technology,,,
60,Biological and related sciences,Bioveterinary Science,AL842,,,,,,,,8,Athlone Institute of Technology,,,
61,Health,Physical Activity and Health Science,AL843,,,,,,,,8,Athlone Institute of Technology,,,
