code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category
AC120,AC,International Business,234 ,269,209,,,,,294,294,American College,Business and administration
AC137,AC,Liberal Arts,252 ,275,252,,,,,271,270,American College,Humanities (except languages)
AD101,AD,First Year Art and Design (Common Entry portfolio),# +matric,550,#+matric,,,,#,#554,,National College of Art and Design,Arts
AD102,AD,Graphic Design and Moving Image Design (portfolio),# +matric,635,#+matric,,,,#,#538,,National College of Art and Design,Arts
AD103,AD,Textile and Surface Design and Jewellery and Objec,# +matric,545,#+matric,,,,#,#505,,National College of Art and Design,Arts
AD202,AD,Education and Design or Fine Art (Second Level Tea,# +matric,580,#+matric,,,,#,#591,,National College of Art and Design,Education
AD204,AD,Fine Art (portfolio),# +matric,600,#+matric,,,,#,#514,,National College of Art and Design,Arts
AD211,AD,Fashion Design (portfolio),# +matric,600,#+matric,,,,#,#760,#679,National College of Art and Design,Arts
AD212,AD,Product Design (portfolio),# +matric,600,#+matric,,,,#,#413,,National College of Art and Design,Arts
AD215,AD,Visual Culture,300 ,338,377,320,,,,337,300,National College of Art and Design,Arts
AD217,AD,Illustration (portfolio),# +matric,625,#+matric,,,,#,#738,,National College of Art and Design,Arts
AD222,AD,Interaction Design (portfolio),# +matric,657,#+matric,,,,#,#444,,National College of Art and Design,Information and Communication Technologies (ICTs)
AL801,AL,Software Design for Virtual Reality and Gaming,304 ,328,303,,,,,300,,Athlone Institute of Technology,Information and Communication Technologies (ICTs)
AL802,AL,Software Design in Artificial Intelligence for Clo,301 ,306,332,,,,,313,,Athlone Institute of Technology,Information and Communication Technologies (ICTs)
AL803,AL,Software Design for Mobile Apps and Connected Devi,309 ,337,337,,,,,350,,Athlone Institute of Technology,Information and Communication Technologies (ICTs)
AL805,AL,Computer Engineering for Network Infrastructure,329 ,442,333,,,,,321,,Athlone Institute of Technology,Information and Communication Technologies (ICTs)
AL810,AL,Quantity Surveying,307 ,349,319,,,,,328,,Athlone Institute of Technology,Architecture and construction
AL811,AL,Civil Engineering,,,320,,,,,,,Athlone Institute of Technology,Architecture and construction
AL820,AL,Mechanical and Polymer Engineering,300 ,358,308,,,,,327,,Athlone Institute of Technology,Manufacturing and processing
AL830,AL,General Nursing,410 ,429,442,,,,,451*,444,Athlone Institute of Technology,Health
AL832,AL,Mental Health Nursing,387 ,403,387,384,*,,,440*,431,Athlone Institute of Technology,Health
AL835,AL,Pharmacology,,,,,,,,356,,Athlone Institute of Technology,
AL836,AL,Nutrition and Health Science,352 ,383,334,,,,,346,,Athlone Institute of Technology,Health
AL837,AL,Sports Science with Exercise Physiology,351 ,392,351,,,,,357,,Athlone Institute of Technology,Personal services
AL838,AL,Biotechnology,302 ,372,307,,,,,324,,Athlone Institute of Technology,Biological and related sciences
AL839,AL,Microbiology,322 ,371,325,,,,,325,,Athlone Institute of Technology,Biological and related sciences
AL840,AL,Pharmaceutical Sciences,328 ,411,347,,,,,346,,Athlone Institute of Technology,Physical sciences
AL841,AL,Athletic and Rehabilitation Therapy,423 ,430,430,,,,,477,476*,Athlone Institute of Technology,Health
AL842,AL,Bioveterinary Science,310 ,366,313,,,,,338,,Athlone Institute of Technology,Biological and related sciences
AL843,AL,Physical Activity and Health Science,310 ,330,306,,,,,306,,Athlone Institute of Technology,Health
AL849,AL,Culinary Entrepreneurship,,,,,,,,297,,Athlone Institute of Technology,
AL850,AL,Business,307 ,356,309,,,,,309,,Athlone Institute of Technology,Business and administration
AL851,AL,Business and Law,301 ,341,295,,,,,302,,Athlone Institute of Technology,Law
AL852,AL,Accounting,290 ,346,309,,,,,336,,Athlone Institute of Technology,Business and administration
AL854,AL,Sport Management (with international placement),,,302,299,,,,300,299,Athlone Institute of Technology,Personal services
AL855,AL,Hospitality Management (with international placeme,312 ,357,308,,,,,309,,Athlone Institute of Technology,Personal services
AL857,AL,Digital Marketing,300 ,360,304,,,,,304,,Athlone Institute of Technology,Business and administration
AL859,AL,International Business,,,,,,,,308,,Athlone Institute of Technology,
AL860,AL,Social Care Practice,309 ,338,300,,,,,301,,Athlone Institute of Technology,Welfare
AL861,AL,Animation and Illustration (portfolio),#615 ,899,578,,,,#,#575,,Athlone Institute of Technology,Arts
AL863,AL,Graphic and Digital Design (portfolio),#703 ,898,781,,,,#,#747,,Athlone Institute of Technology,Arts
AL864,AL,Early Years Care and Education,307 ,348,307,,,,,306,,Athlone Institute of Technology,Welfare
AL870,AL,Applied Psychology,409 ,445,418,,,,,484*,467*,Athlone Institute of Technology,Social and behavioural sciences
AL853,AL,Accounting and Law ,305 ,320,,,,,,,,Athlone Institute of Technology,
AS001,AS,Education  Home Economics and Biology - with concu,456* ,497,510,,,,,542,533,St. Angela`s College,Education
AS002,AS,Education  Home Economics and Religious Ed - with,400* ,433,441,434,*,*,,464,452*,St. Angela`s College,Education
AS003,AS,Education  Home Economics and Irish - with concurr,421 ,457,440,440,*,,,463*,457,St. Angela`s College,Education
AS051,AS,Nutrition  Food and Business Management,337 ,399,328,317,,,,378,347,St. Angela`s College,Business and administration
AS054,AS,Home Economics,387 ,401,408,398,,,,440*,419*,St. Angela`s College,Biological and related sciences
AS110,AS,General Nursing,391* ,409,419,,*,,,440*,432,St. Angela`s College,Health
AS130,AS,Intellectual Disability Nursing,317 ,338,336,328,*,,,387,358,St. Angela`s College,Health
BN101,BN,Business ,252 ,289,,,,,,,,Technological University Dublin Blanchardstown Campus,
BN103,BN,Business and Information Technology ,254 ,290,,,,,,,,Technological University Dublin Blanchardstown Campus,
