code,institution_letters,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021,institution,category,special_chars_2019,special_chars_2021,special_chars_2020
AC120,AC,International Business,234.0,269.0,209.0,,,,,294.0,294.0,American College,Business and administration,NaN,NaN,
AC137,AC,Liberal Arts,252.0,275.0,252.0,,,,,271.0,270.0,American College,Humanities (except languages),NaN,NaN,
AD101,AD,First Year Art and Design (Common Entry portfolio),,550.0,,,,,#,554.0,,National College of Art and Design,Arts,#,#,#
AD102,AD,Graphic Design and Moving Image Design (portfolio),,635.0,,,,,#,538.0,,National College of Art and Design,Arts,#,#,#
AD103,AD,Textile and Surface Design and Jewellery and Objec,,545.0,,,,,#,505.0,,National College of Art and Design,Arts,#,#,#
AD202,AD,Education and Design or Fine Art (Second Level Tea,,580.0,,,,,#,591.0,,National College of Art and Design,Education,#,#,#
AD204,AD,Fine Art (portfolio),,600.0,,,,,#,514.0,,National College of Art and Design,Arts,#,#,#
AD211,AD,Fashion Design (portfolio),,600.0,,,,,#,760.0,679.0,National College of Art and Design,Arts,#,#,#
AD212,AD,Product Design (portfolio),,600.0,,,,,#,413.0,,National College of Art and Design,Arts,#,#,#
AD215,AD,Visual Culture,300.0,338.0,377.0,320.0,,,,337.0,300.0,National College of Art and Design,Arts,NaN,NaN,
AD217,AD,Illustration (portfolio),,625.0,,,,,#,738.0,,National College of Art and Design,Arts,#,#,#
AD222,AD,Interaction Design (portfolio),,657.0,,,,,#,444.0,,National College of Art and Design,Information and Communication Technologies (ICTs),#,#,#
AL801,AL,Software Design for Virtual Reality and Gaming,304.0,328.0,303.0,,,,,300.0,,Athlone Institute of Technology,Information and Communication Technologies (ICTs),NaN,NaN,
AL802,AL,Software Design in Artificial Intelligence for Clo,301.0,306.0,332.0,,,,,313.0,,Athlone Institute of Technology,Information and Communication Technologies (ICTs),NaN,NaN,
AL803,AL,Software Design for Mobile Apps and Connected Devi,309.0,337.0,337.0,,,,,350.0,,Athlone Institute of Technology,Information and Communication Technologies (ICTs),NaN,NaN,
AL805,AL,Computer Engineering for Network Infrastructure,329.0,442.0,333.0,,,,,321.0,,Athlone Institute of Technology,Information and Communication Technologies (ICTs),NaN,NaN,
AL810,AL,Quantity Surveying,307.0,349.0,319.0,,,,,328.0,,Athlone Institute of Technology,Architecture and construction,NaN,NaN,
AL811,AL,Civil Engineering,,,320.0,,,,,,,Athlone Institute of Technology,Architecture and construction,NaN,NaN,
AL820,AL,Mechanical and Polymer Engineering,300.0,358.0,308.0,,,,,327.0,,Athlone Institute of Technology,Manufacturing and processing,NaN,NaN,
AL830,AL,General Nursing,410.0,429.0,442.0,,,,,451.0,444.0,Athlone Institute of Technology,Health,NaN,*,
AL832,AL,Mental Health Nursing,387.0,403.0,387.0,384.0,*,,,440.0,431.0,Athlone Institute of Technology,Health,NaN,*,*
AL835,AL,Pharmacology,,,,,,,,356.0,,Athlone Institute of Technology,,NaN,NaN,
AL836,AL,Nutrition and Health Science,352.0,383.0,334.0,,,,,346.0,,Athlone Institute of Technology,Health,NaN,NaN,
AL837,AL,Sports Science with Exercise Physiology,351.0,392.0,351.0,,,,,357.0,,Athlone Institute of Technology,Personal services,NaN,NaN,
AL838,AL,Biotechnology,302.0,372.0,307.0,,,,,324.0,,Athlone Institute of Technology,Biological and related sciences,NaN,NaN,
AL839,AL,Microbiology,322.0,371.0,325.0,,,,,325.0,,Athlone Institute of Technology,Biological and related sciences,NaN,NaN,
AL840,AL,Pharmaceutical Sciences,328.0,411.0,347.0,,,,,346.0,,Athlone Institute of Technology,Physical sciences,NaN,NaN,
AL841,AL,Athletic and Rehabilitation Therapy,423.0,430.0,430.0,,,,,477.0,476.0,Athlone Institute of Technology,Health,NaN,*,
AL842,AL,Bioveterinary Science,310.0,366.0,313.0,,,,,338.0,,Athlone Institute of Technology,Biological and related sciences,NaN,NaN,
AL843,AL,Physical Activity and Health Science,310.0,330.0,306.0,,,,,306.0,,Athlone Institute of Technology,Health,NaN,NaN,
AL849,AL,Culinary Entrepreneurship,,,,,,,,297.0,,Athlone Institute of Technology,,NaN,NaN,
AL850,AL,Business,307.0,356.0,309.0,,,,,309.0,,Athlone Institute of Technology,Business and administration,NaN,NaN,
AL851,AL,Business and Law,301.0,341.0,295.0,,,,,302.0,,Athlone Institute of Technology,Law,NaN,NaN,
AL852,AL,Accounting,290.0,346.0,309.0,,,,,336.0,,Athlone Institute of Technology,Business and administration,NaN,NaN,
AL854,AL,Sport Management (with international placement),,,302.0,299.0,,,,300.0,299.0,Athlone Institute of Technology,Personal services,NaN,NaN,
AL855,AL,Hospitality Management (with international placeme,312.0,357.0,308.0,,,,,309.0,,Athlone Institute of Technology,Personal services,NaN,NaN,
AL857,AL,Digital Marketing,300.0,360.0,304.0,,,,,304.0,,Athlone Institute of Technology,Business and administration,NaN,NaN,
AL859,AL,International Business,,,,,,,,308.0,,Athlone Institute of Technology,,NaN,NaN,
AL860,AL,Social Care Practice,309.0,338.0,300.0,,,,,301.0,,Athlone Institute of Technology,Welfare,NaN,NaN,
AL861,AL,Animation and Illustration (portfolio),615.0,899.0,578.0,,,,#,575.0,,Athlone Institute of Technology,Arts,#,#,#
AL863,AL,Graphic and Digital Design (portfolio),703.0,898.0,781.0,,,,#,747.0,,Athlone Institute of Technology,Arts,#,#,#
AL864,AL,Early Years Care and Education,307.0,348.0,307.0,,,,,306.0,,Athlone Institute of Technology,Welfare,NaN,NaN,
AL870,AL,Applied Psychology,409.0,445.0,418.0,,,,,484.0,467.0,Athlone Institute of Technology,Social and behavioural sciences,NaN,*,
AL853,AL,Accounting and Law ,305.0,320.0,,,,,,,,Athlone Institute of Technology,,NaN,NaN,
AS001,AS,Education  Home Economics and Biology - with concu,456.0,497.0,510.0,,,,,542.0,533.0,St. Angela`s College,Education,*,NaN,
AS002,AS,Education  Home Economics and Religious Ed - with,400.0,433.0,441.0,434.0,*,*,,464.0,452.0,St. Angela`s College,Education,*,*,*
AS003,AS,Education  Home Economics and Irish - with concurr,421.0,457.0,440.0,440.0,*,,,463.0,457.0,St. Angela`s College,Education,NaN,*,*
AS051,AS,Nutrition  Food and Business Management,337.0,399.0,328.0,317.0,,,,378.0,347.0,St. Angela`s College,Business and administration,NaN,NaN,
AS054,AS,Home Economics,387.0,401.0,408.0,398.0,,,,440.0,419.0,St. Angela`s College,Biological and related sciences,NaN,*,
AS110,AS,General Nursing,391.0,409.0,419.0,,*,,,440.0,432.0,St. Angela`s College,Health,*,*,*
AS130,AS,Intellectual Disability Nursing,317.0,338.0,336.0,328.0,*,,,387.0,358.0,St. Angela`s College,Health,NaN,NaN,*
BN101,BN,Business ,252.0,289.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN103,BN,Business and Information Technology ,254.0,290.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN104,BN,Computing (Information Technology) ,260.0,293.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN107,BN,Applied Social Studies in Social Care ,300.0,328.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN108,BN,Engineering (Common Entry with Award options) ,271.0,318.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN109,BN,Business (Common Entry with Award options) ,260.0,279.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN110,BN,International Business ,253.0,308.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN111,BN,Sports Management and Coaching ,270.0,298.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN112,BN,Creative Digital Media ,280.0,329.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN113,BN,Horticulture ,289.0,321.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN114,BN,Accounting and Finance ,280.0,332.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN115,BN,Community and Youth Development ,250.0,298.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN117,BN,Computer Engineering in Mobile Systems ,273.0,311.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN118,BN,Early Childhood Care and Education ,290.0,320.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN119,BN,Digital Marketing ,270.0,308.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN120,BN,Digital Forensics and Cyber Security ,281.0,326.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN121,BN,Mechatronic Engineering ,276.0,340.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BN123,BN,"Design,Technology and Innovation ",297.0,318.0,,,,,,,,Technological University Dublin Blanchardstown Campus,,NaN,NaN,
BY001,BY,Business,,,,,,,,210.0,210.0,IBAT College Dublin ,,NaN,NaN,
CI110,CI,Counselling and Psychotherapy,,,310.0,,,,,292.0,,Irish College of Humanities & Applied Sciences,Welfare,NaN,NaN,
CI111,CI,Counselling and Psychotherapy with Addiction Studi,,,301.0,,,,,290.0,,Irish College of Humanities & Applied Sciences,Welfare,NaN,NaN,
CI112,CI,Counselling and Psychotherapy with Youth Studies,,,311.0,,,,,325.0,,Irish College of Humanities & Applied Sciences,Welfare,NaN,NaN,
CI101,CI,Counselling and Psychotherapy (Limerick) ,276.0,328.0,,,,,,,,Irish College of Humanities & Applied Sciences,,NaN,NaN,
