,2021,,,,,,,,,2020,,,,,,,,eos,mid,,,,,
COURSE CODE2,COURSE TITLE,r1,r2,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,CATEGORY (i.e.ISCED description),COURSE TITLE,COURSE CODE2,R1 POINTS,R1 Random *,R2 POINTS,R2 Random*,EOS,EOS Random *,EOS Mid-point,LEVEL,HEI,Test/Interview #,avp,v
AL801,Software Design for Virtual Reality and Gaming,300,,,,,,,,Business and administration,International Business,AC120,209,,,,209,,280,8,American College,,,
AL802,Software Design in Artificial Intelligence for Clo,313,,,,,,,,Humanities (except languages),Liberal Arts,AC137,252,,,,252,,270,8,American College,,,
AL803,Software Design for Mobile Apps and Connected Devi,350,,,,,,,,Arts,"First Year Art & Design (Common Entry,portfolio)",AD101,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
AL805,Computer Engineering for Network Infrastructure,321,,,,,,,,Arts,Graphic Design and Moving Image Design (portfolio),AD102,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
AL810,Quantity Surveying,328,,,,,,,,Arts,Textile & Surface Design and Jewellery & Objects (portfolio),AD103,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
AL820,Mechanical and Polymer Engineering,327,,,,,,,,Education,"Education & Design or Fine Art (Second Level Teaching,portfolio))",AD202,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
AL830,General Nursing,451*,444,,,,,,,Arts,Fine Art (portfolio),AD204,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
AL832,Mental Health Nursing,440*,431,,,,,,,Arts,Fashion Design (portfolio),AD211,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
AL835,Pharmacology,356,,,,,,,,Arts,Product Design (portfolio),AD212,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
AL836,Nutrition and Health Science,346,,,,,,,,Arts,Visual Culture,AD215,377,,320,,320,,389,8,National College of Art and Design,,,
AL837,Sports Science with Exercise Physiology,357,,,,,,,,Arts,Illustration (portfolio),AD217,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
AL838,Biotechnology,324,,,,,,,,Information and Communication Technologies (ICTs),Interaction Design (portfolio),AD222,#+matric,,,,#+matric,,#+matric,8,National College of Art and Design,#,,
AL839,Microbiology,325,,,,,,,,Information and Communication Technologies (ICTs),Software Design with Virtual Reality and Gaming,AL801,303,,,,303,,367,8,Athlone Institute of Technology,,,
AL840,Pharmaceutical Sciences,346,,,,,,,,Information and Communication Technologies (ICTs),Software Design with Artificial Intelligence for Cloud Computing,AL802,332,,,,332,,382,8,Athlone Institute of Technology,,,
AL841,Athletic and Rehabilitation Therapy,477,476*,,,,,,,Information and Communication Technologies (ICTs),Software Design with Mobile Apps and Connected Devices,AL803,337,,,,337,,360,8,Athlone Institute of Technology,,,
AL842,Bioveterinary Science,338,,,,,,,,Information and Communication Technologies (ICTs),Computer Engineering with Network Infrastructure,AL805,333,,,,333,,360,8,Athlone Institute of Technology,,,
AL843,Physical Activity and Health Science,306,,,,,,,,Architecture and construction,Quantity Surveying,AL810,319,,,,326,,352,8,Athlone Institute of Technology,,,
AL849,Culinary Entrepreneurship,297,,,,,,,,Architecture and construction,Civil Engineering,AL811,320,,,,320,,432,8,Athlone Institute of Technology,,,
AL850,Business,309,,,,,,,,Manufacturing and processing,Mechanical and Polymer Engineering,AL820,308,,,,308,,379,8,Athlone Institute of Technology,,,
AL851,Business and Law,302,,,,,,,,Health,General Nursing,AL830,442,,,,442,,463,8,Athlone Institute of Technology,,,
AL852,Accounting,336,,,,,,,,Health,Psychiatric Nursing,AL832,387,*,384,,384,,399,8,Athlone Institute of Technology,,,
AL854,Sport Management (with international placement),300,299,,,,,,,Health,Nutrition and Health Science,AL836,334,,,,334,,379,8,Athlone Institute of Technology,,,
AL855,Hospitality Management (with international placeme,309,,,,,,,,Personal services,Sports Science with Exercise Physiology,AL837,351,,,,351,,384,8,Athlone Institute of Technology,,,
AL857,Digital Marketing,304,,,,,,,,Biological and related sciences,Biotechnology,AL838,307,,,,307,,356,8,Athlone Institute of Technology,,,
AL859,International Business,308,,,,,,,,Biological and related sciences,Microbiology,AL839,325,,,,325,,393,8,Athlone Institute of Technology,,,
AL860,Social Care Practice,301,,,,,,,,Physical sciences,Pharmaceutical Sciences,AL840,347,,,,347,,403,8,Athlone Institute of Technology,,,
AL861,Animation and Illustration (portfolio),#575,,,,,,,,Health,Athletic and Rehabilitation Therapy,AL841,430,,,,430,,465,8,Athlone Institute of Technology,,,
AL863,Graphic and Digital Design (portfolio),#747,,,,,,,,Biological and related sciences,Bioveterinary Science,AL842,313,,,,313,,383,8,Athlone Institute of Technology,,,
AL864,Early Years Care and Education,306,,,,,,,,Health,Physical Activity and Health Science,AL843,306,,,,306,,326,8,Athlone Institute of Technology,,,
AL870,Applied Psychology,484*,467*,,,,,,,Business and administration,Business,AL850,309,,,,309,,377,8,Athlone Institute of Technology,,,
CW018,Business (options),307,,,,,,,,Law,Business and Law,AL851,295,,,,295,,351,8,Athlone Institute of Technology,,,
CW028,Early Childhood Education and Care,260,,,,,,,,Business and administration,Accounting,AL852,309,,,,309,,422,8,Athlone Institute of Technology,,,
CW038,Art (portfolio),#700,,,,,,,,Personal services,Sport Management (with international placement),AL854,302,,299,,299,,338,8,Athlone Institute of Technology,,,
CW058,Tourism and Event Management,292,,,,,,,,Personal services,Hospitality Management (with international placement),AL855,308,,,,308,,347,8,Athlone Institute of Technology,,,
CW068,Applied Social Studies in Professional Social Care,250,,,,,,,,Business and administration,Digital Marketing,AL857,304,,,,304,,332,8,Athlone Institute of Technology,,,
CW078,Sustainable Farm Management and Agribusiness,270,,,,,,,,Welfare,Social Care Practice,AL860,300,,,,300,,348,8,Athlone Institute of Technology,,,
CW088,Visual Communications and Design,270,,,,,,,,Arts,Animation and Illustration (portfolio),AL861,578,,,,578,,878,8,Athlone Institute of Technology,#,,
CW108,Science (options),266,,,,,,,,Arts,Graphic and Digital Design (portfolio),AL863,781,,,,781,,824,8,Athlone Institute of Technology,#,,
CW128,Brewing and Distilling,307,,,,,,,,Welfare,Early Years Care and Education,AL864,307,,,,307,,346,8,Athlone Institute of Technology,,,
CW138,Sport and Exercise Science,430,423,,,,,,,Social and behavioural sciences,Applied Psychology,AL870,418,,,,418,,444,8,Athlone Institute of Technology,,,
CW148,Strength and Conditioning,388,,,,,,,,Education,"Education, Home Economics and Biology - with concurrent Teacher Ed",AS001,510,,,,518,,544,8,St. Angela`s College,,,
CW188,Sport Rehabilitation and Athletic Therapy,451,,,,,,,,Education,"Education, Home Economics and Religious Ed - with concurrent Teacher Ed",AS002,441,*,434,*,434,*,466,8,St. Angela`s College,,,
CW208,Computer Games Development,272,,,,,,,,Education,"Education, Home Economics and Irish - with concurrent Teacher Ed",AS003,440,*,440,,440,,484,8,St. Angela`s College,,,
CW238,Software Development,295,,,,,,,,Business and administration,"Nutrition, Food and Business Management",AS051,328,,317,,317,,398,8,St. Angela`s College,,,
CW248,Information Technology Management,293,,,,,,,,Biological and related sciences,Home Economics,AS054,408,,398,,398,,429,8,St. Angela`s College,,,
CW258,Cybercrime and IT Security,292,,,,,,,,Health,General Nursing,AS110,419,*,,,419,*,431,8,St. Angela`s College,,,
CW268,Computing in Interactive Digital Art and Design,291,,,,,,,,Health,Intellectual Disability Nursing,AS130,336,*,328,,317,,339,8,St. Angela`s College,,,
CW438,Construction (options),260,251,,,,,,,Welfare,Counselling and Psychotherapy,CI110,310,,,,310,,392,8,Irish College of Humanities & Applied Sciences,,,
CW468,Architectural Technology,291,283,,,,,,,Welfare,Counselling and Addiction Studies,CI111,301,,,,301,,319,8,Irish College of Humanities & Applied Sciences,,,
CW478,Civil Engineering,465,,,,,,,,Welfare,Counselling and Youth Studies,CI112,311,,,,311,,311,8,Irish College of Humanities & Applied Sciences,,,
CW548,Mechanical Engineering,330,328,,,,,,,Arts,Arts - 3 years,CK101,300,,,,300,,388,8,University College Cork (NUI),,,
CW558,Electronic Systems,280,,,,,,,,Social and behavioural sciences,Social Science,CK102,412,,,,412,,451,8,University College Cork (NUI),,,
CW568,Aerospace Engineering,371,359,,,,,,,Arts,Arts with Music - 3 or 4 years (BMus or Chinese/European/Int`l Pathway),CK104,302,,,,302,,435,8,University College Cork (NUI),#,,
CW578,TV and Media Production,318,,,,,,,,Arts,Film and Screen Media - 3 years or 4 years (International Pathway),CK105,368,,337,,319,,418,8,University College Cork (NUI),,,
CW708,Law - LLB,292,,,,,,,,Humanities (except languages),Geographical and Archaeological Sciences - 3 or 4 years (Int`l Pathway),CK107,328,,,,328,,388,8,University College Cork (NUI),,,
