code,course_title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021
AL801,Software Design for Virtual Reality and Gaming,,,303,,,,,300,
AL802,Software Design in Artificial Intelligence for Clo,,,332,,,,,313,
AL803,Software Design for Mobile Apps and Connected Devi,,,337,,,,,350,
AL805,Computer Engineering for Network Infrastructure,,,333,,,,,321,
AL810,Quantity Surveying,,,319,,,,,328,
AL811,Civil Engineering,,,320,,,,,,
AL820,Mechanical and Polymer Engineering,,,308,,,,,327,
AL830,General Nursing,,,442,,,,,451*,444
AL832,Mental Health Nursing,,,387,384,*,,,440*,431
AL835,Pharmacology,,,,,,,,356,
AL836,Nutrition and Health Science,,,334,,,,,346,
AL837,Sports Science with Exercise Physiology,,,351,,,,,357,
AL838,Biotechnology,,,307,,,,,324,
AL839,Microbiology,,,325,,,,,325,
AL840,Pharmaceutical Sciences,,,347,,,,,346,
AL841,Athletic and Rehabilitation Therapy,,,430,,,,,477,476*
AL842,Bioveterinary Science,,,313,,,,,338,
AL843,Physical Activity and Health Science,,,306,,,,,306,
AL849,Culinary Entrepreneurship,,,,,,,,297,
AL850,Business,,,309,,,,,309,
AL851,Business and Law,,,295,,,,,302,
AL852,Accounting,,,309,,,,,336,
AL854,Sport Management (with international placement),,,302,299,,,,300,299
AL855,Hospitality Management (with international placeme,,,308,,,,,309,
AL857,Digital Marketing,,,304,,,,,304,
AL859,International Business,,,,,,,,308,
AL860,Social Care Practice,,,300,,,,,301,
AL861,Animation and Illustration (portfolio),,,578,,,,#,#575,
AL863,Graphic and Digital Design (portfolio),,,781,,,,#,#747,
AL864,Early Years Care and Education,,,307,,,,,306,
AL870,Applied Psychology,,,418,,,,,484*,467*
CW018,Business (options),,,298,248,,,,307,
CW028,Early Childhood Education and Care,,,252,,,,,260,
CW038,Art (portfolio),,,700,,,,#,#700,
CW058,Tourism and Event Management,,,298,,,,,292,
CW068,Applied Social Studies in Professional Social Care,,,245,,,,,250,
CW078,Sustainable Farm Management and Agribusiness,,,269,,,,,270,
CW088,Visual Communications and Design,,,274,,,,,270,
CW108,Science (options),,,261,,,,,266,
CW128,Brewing and Distilling,,,263,,,,,307,
CW138,Sport and Exercise Science,,,423,,,,,430,423
CW148,Strength and Conditioning,,,379,,,,,388,
CW188,Sport Rehabilitation and Athletic Therapy,,,451,448,,,,451,
CW208,Computer Games Development,,,279,,,,,272,
CW238,Software Development,,,297,,,,,295,
CW248,Information Technology Management,,,285,,,,,293,
CW258,Cybercrime and IT Security,,,293,,,,,292,
CW268,Computing in Interactive Digital Art and Design,,,287,,,,,291,
CW438,Construction (options),,,272,,,,,260,251
CW468,Architectural Technology,,,262,,,,,291,283
CW478,Civil Engineering,,,433,,,,,465,
CW548,Mechanical Engineering,,,321,,,,,330,328
CW558,Electronic Systems,,,280,,,,,280,
CW568,Aerospace Engineering,,,380,,,,,371,359
CW578,TV and Media Production,,,325,,,,,318,
CW708,Law - LLB,,,302,,,,,292,
CW728,Product Design Innovation,,,252,,,,,246,
CW748,Early Childhood Education and Care,,,270,,,,,290,
CW758,Professional Social Care Practice,,,336,,,,,360,358
CW808,Media and Public Relations,,,251,,,,,247,
CW848,Digital Marketing with Analytics,,,254,,,,,269,
CW858,Sports Management and Coaching (options  portfolio,,,700,,,,#,#700,
CW908,Business (options),,,280,,,,,272,
CW938,Business with Law,,,283,,,,,270,
CW948,Accounting,,,300,,,,,319,
PC405,Social  Political and Community Studies,,,253,216,,,,263,235
PC410,Arts and Humanities (fulfils Teaching Council requ,,,252,209,,,,262,230
PC411,English and History (fulfils Teaching Council requ,,,255,209,,,,243,224
CR105,Chemical and Biopharmaceutical Engineering,,,443,,,,,443,
CR106,Software Development,,,411,,,,,431,
CR108,Mechanical Engineering,,,434,,,,,434,
CR109,Structural Engineering,,,394,,,,,396,
CR110,Automotive Business Management and Technology,,,311,,,,,336,
CR112,Creative Digital Media at CIT Crawford College of,,,361,,,,,390,
CR116,Computer Systems,,,332,,,,,365,
