,category,variable,value,year
0,Business and administration,points_r1_2019,234.0,2019
1,Humanities (except languages),points_r1_2019,252.0,2019
2,Arts,points_r1_2019,,2019
3,Arts,points_r1_2019,,2019
4,Arts,points_r1_2019,,2019
5,Education,points_r1_2019,,2019
6,Arts,points_r1_2019,,2019
7,Arts,points_r1_2019,,2019
8,Arts,points_r1_2019,,2019
9,Arts,points_r1_2019,300.0,2019
10,Arts,points_r1_2019,,2019
11,Information and Communication Technologies (ICTs),points_r1_2019,,2019
12,Information and Communication Technologies (ICTs),points_r1_2019,304.0,2019
13,Information and Communication Technologies (ICTs),points_r1_2019,301.0,2019
14,Information and Communication Technologies (ICTs),points_r1_2019,309.0,2019
15,Information and Communication Technologies (ICTs),points_r1_2019,329.0,2019
16,Architecture and construction,points_r1_2019,307.0,2019
17,Architecture and construction,points_r1_2019,,2019
18,Manufacturing and processing,points_r1_2019,300.0,2019
19,Health,points_r1_2019,410.0,2019
20,Health,points_r1_2019,387.0,2019
21,,points_r1_2019,,2019
22,Health,points_r1_2019,352.0,2019
23,Personal services,points_r1_2019,351.0,2019
24,Biological and related sciences,points_r1_2019,302.0,2019
25,Biological and related sciences,points_r1_2019,322.0,2019
26,Physical sciences,points_r1_2019,328.0,2019
27,Health,points_r1_2019,423.0,2019
28,Biological and related sciences,points_r1_2019,310.0,2019
29,Health,points_r1_2019,310.0,2019
30,,points_r1_2019,,2019
31,Business and administration,points_r1_2019,307.0,2019
32,Law,points_r1_2019,301.0,2019
33,Business and administration,points_r1_2019,290.0,2019
34,Personal services,points_r1_2019,,2019
35,Personal services,points_r1_2019,312.0,2019
36,Business and administration,points_r1_2019,300.0,2019
37,,points_r1_2019,,2019
38,Welfare,points_r1_2019,309.0,2019
39,Arts,points_r1_2019,615.0,2019
40,Arts,points_r1_2019,703.0,2019
41,Welfare,points_r1_2019,307.0,2019
42,Social and behavioural sciences,points_r1_2019,409.0,2019
43,,points_r1_2019,305.0,2019
44,Education,points_r1_2019,456.0,2019
45,Education,points_r1_2019,400.0,2019
46,Education,points_r1_2019,421.0,2019
47,Business and administration,points_r1_2019,337.0,2019
48,Biological and related sciences,points_r1_2019,387.0,2019
49,Health,points_r1_2019,391.0,2019
50,Health,points_r1_2019,317.0,2019
51,,points_r1_2019,252.0,2019
52,,points_r1_2019,254.0,2019
53,,points_r1_2019,260.0,2019
54,,points_r1_2019,300.0,2019
55,,points_r1_2019,271.0,2019
56,,points_r1_2019,260.0,2019
57,,points_r1_2019,253.0,2019
58,,points_r1_2019,270.0,2019
59,,points_r1_2019,280.0,2019
60,,points_r1_2019,289.0,2019
61,,points_r1_2019,280.0,2019
62,,points_r1_2019,250.0,2019
63,,points_r1_2019,273.0,2019
64,,points_r1_2019,290.0,2019
65,,points_r1_2019,270.0,2019
66,,points_r1_2019,281.0,2019
67,,points_r1_2019,276.0,2019
68,,points_r1_2019,297.0,2019
69,,points_r1_2019,,2019
70,Welfare,points_r1_2019,,2019
71,Welfare,points_r1_2019,,2019
72,Welfare,points_r1_2019,,2019
73,,points_r1_2019,276.0,2019
74,Arts,points_r1_2019,300.0,2019
75,Social and behavioural sciences,points_r1_2019,391.0,2019
76,Arts,points_r1_2019,340.0,2019
77,Arts,points_r1_2019,397.0,2019
78,Humanities (except languages),points_r1_2019,326.0,2019
79,Languages,points_r1_2019,429.0,2019
80,Languages,points_r1_2019,347.0,2019
81,Languages,points_r1_2019,456.0,2019
82,Welfare,points_r1_2019,398.0,2019
83,Arts,points_r1_2019,324.0,2019
84,Social and behavioural sciences,points_r1_2019,408.0,2019
85,Welfare,points_r1_2019,,2019
86,Welfare,points_r1_2019,,2019
87,Arts,points_r1_2019,307.0,2019
88,Social and behavioural sciences,points_r1_2019,506.0,2019
89,Social and behavioural sciences,points_r1_2019,393.0,2019
90,Social and behavioural sciences,points_r1_2019,355.0,2019
91,Humanities (except languages),points_r1_2019,,2019
92,Education,points_r1_2019,,2019
93,Education,points_r1_2019,,2019
94,Business and administration,points_r1_2019,465.0,2019
95,Business and administration,points_r1_2019,467.0,2019
96,Information and Communication Technologies (ICTs),points_r1_2019,409.0,2019
97,Business and administration,points_r1_2019,531.0,2019
98,Business and administration,points_r1_2019,409.0,2019
99,Business and administration,points_r1_2019,408.0,2019
100,Business and administration,points_r1_2019,408.0,2019
101,Business and administration,points_r1_2019,431.0,2019
102,Business and administration,points_r1_2019,509.0,2019
103,Business and administration,points_r1_2019,398.0,2019
104,Social and behavioural sciences,points_r1_2019,400.0,2019
105,Business and administration,points_r1_2019,,2019
106,Social and behavioural sciences,points_r1_2019,,2019
107,Law,points_r1_2019,476.0,2019
108,Law,points_r1_2019,453.0,2019
109,Law,points_r1_2019,462.0,2019
110,Law,points_r1_2019,522.0,2019
111,Information and Communication Technologies (ICTs),points_r1_2019,402.0,2019
112,Biological and related sciences,points_r1_2019,498.0,2019
113,Biological and related sciences,points_r1_2019,412.0,2019
114,Biological and related sciences,points_r1_2019,476.0,2019
