code,title,points_r1_2019,points_r2_2019,points_r1_2020,points_r2_2020,*r1_2020,*r2_2020,#Test/Interview2020,points_r1_2021,points_r2_2021
AL801,Software Design for Virtual Reality and Gaming,304 ,328,303,,,,,300,
AL802,Software Design in Artificial Intelligence for Clo,301 ,306,332,,,,,313,
AL803,Software Design for Mobile Apps and Connected Devi,309 ,337,337,,,,,350,
AL805,Computer Engineering for Network Infrastructure,329 ,442,333,,,,,321,
AL810,Quantity Surveying,307 ,349,319,,,,,328,
AL811,Civil Engineering,,,320,,,,,,
AL820,Mechanical and Polymer Engineering,300 ,358,308,,,,,327,
AL830,General Nursing,410 ,429,442,,,,,451*,444
AL832,Mental Health Nursing,387 ,403,387,384,*,,,440*,431
AL835,Pharmacology,,,,,,,,356,
AL836,Nutrition and Health Science,352 ,383,334,,,,,346,
AL837,Sports Science with Exercise Physiology,351 ,392,351,,,,,357,
AL838,Biotechnology,302 ,372,307,,,,,324,
AL839,Microbiology,322 ,371,325,,,,,325,
AL840,Pharmaceutical Sciences,328 ,411,347,,,,,346,
AL841,Athletic and Rehabilitation Therapy,423 ,430,430,,,,,477,476*
AL842,Bioveterinary Science,310 ,366,313,,,,,338,
AL843,Physical Activity and Health Science,310 ,330,306,,,,,306,
AL849,Culinary Entrepreneurship,,,,,,,,297,
AL850,Business,307 ,356,309,,,,,309,
AL851,Business and Law,301 ,341,295,,,,,302,
AL852,Accounting,290 ,346,309,,,,,336,
AL854,Sport Management (with international placement),,,302,299,,,,300,299
AL855,Hospitality Management (with international placeme,312 ,357,308,,,,,309,
AL857,Digital Marketing,300 ,360,304,,,,,304,
AL859,International Business,,,,,,,,308,
AL860,Social Care Practice,309 ,338,300,,,,,301,
AL861,Animation and Illustration (portfolio),#615 ,899,578,,,,#,#575,
AL863,Graphic and Digital Design (portfolio),#703 ,898,781,,,,#,#747,
AL864,Early Years Care and Education,307 ,348,307,,,,,306,
AL870,Applied Psychology,409 ,445,418,,,,,484*,467*
CW018,Business (options),327 ,349,298,248,,,,307,
CW028,Early Childhood Education and Care,252 ,308,252,,,,,260,
CW038,Art (portfolio),#700 ,700,700,,,,#,#700,
CW058,Tourism and Event Management,252 ,262,298,,,,,292,
CW068,Applied Social Studies in Professional Social Care,251 ,280,245,,,,,250,
CW078,Sustainable Farm Management and Agribusiness,266 ,320,269,,,,,270,
CW088,Visual Communications and Design,309 ,345,274,,,,,270,
CW108,Science (options),261 ,326,261,,,,,266,
CW128,Brewing and Distilling,271 ,298,263,,,,,307,
CW138,Sport and Exercise Science,,,423,,,,,430,423
CW148,Strength and Conditioning,,,379,,,,,388,
CW188,Sport Rehabilitation and Athletic Therapy,454 ,473,451,448,,,,451,
CW208,Computer Games Development,281 ,338,279,,,,,272,
CW238,Software Development,300 ,343,297,,,,,295,
CW248,Information Technology Management,307 ,357,285,,,,,293,
CW258,Cybercrime and IT Security,300 ,328,293,,,,,292,
CW268,Computing in Interactive Digital Art and Design,274 ,321,287,,,,,291,
CW438,Construction (options),271 ,308,272,,,,,260,251
CW468,Architectural Technology,252 ,290,262,,,,,291,283
CW478,Civil Engineering,348 ,383,433,,,,,465,
CW548,Mechanical Engineering,310 ,351,321,,,,,330,328
CW558,Electronic Systems,279 ,338,280,,,,,280,
CW568,Aerospace Engineering,366 ,422,380,,,,,371,359
CW578,TV and Media Production,327 ,361,325,,,,,318,
CW708,Law - LLB,298 ,328,302,,,,,292,
CW728,Product Design Innovation,286 ,355,252,,,,,246,
CW748,Early Childhood Education and Care,265 ,338,270,,,,,290,
CW758,Professional Social Care Practice,290 ,319,336,,,,,360,358
CW808,Media and Public Relations,248 ,307,251,,,,,247,
CW848,Digital Marketing with Analytics,279 ,307,254,,,,,269,
CW858,Sports Management and Coaching (options  portfolio,#700 ,700,700,,,,#,#700,
CW908,Business (options),260 ,307,280,,,,,272,
CW938,Business with Law,270 ,288,283,,,,,270,
CW948,Accounting,301 ,408,300,,,,,319,
PC405,Social  Political and Community Studies,251 ,296,253,216,,,,263,235
PC410,Arts and Humanities (fulfils Teaching Council requ,203 ,289,252,209,,,,262,230
PC411,English and History (fulfils Teaching Council requ,168 ,289,255,209,,,,243,224
CR105,Chemical and Biopharmaceutical Engineering,432 ,498,443,,,,,443,
CR106,Software Development,351 ,393,411,,,,,431,
CR108,Mechanical Engineering,425 ,487,434,,,,,434,
CR109,Structural Engineering,341 ,467,394,,,,,396,
CR110,Automotive Business Management and Technology,318 ,347,311,,,,,336,
CR112,Creative Digital Media at CIT Crawford College of,335 ,389,361,,,,,390,
CR116,Computer Systems,318 ,381,332,,,,,365,
CR121,Music at CIT Cork School of Music,#633 ,1052,868,,,,#,#904,#904
CR125,Popular Music at CIT Cork School of Music,#972 ,1021,1088,,,,#,#1028,
CR130,Musical Theatre at CIT Cork School of Music,#500 ,600,548,518,,,#,#525,
CR150,Business Information Systems,326 ,371,335,,,,,350,
CR210,Contemporary Applied Art (Ceramics  Glass  Textile,#979 ,979,#+matric,,,,#,#450,
CR220,Fine Art at CIT Crawford College of Art and Design,#620 ,819,#+matric,,,,#,#400,
CR225,Photography with New Media at CIT Crawford College,#920 ,920,#+matric,,,,#,#435,
CR305,Physical Sciences (Common Entry),279 ,309,282,,,,,260,
CR310,IT Management,282 ,317,297,,,,,347,
CR320,Biomedical Science - Offered jointly by CIT and UC,546 ,556,565,,,,,590*,
CR325,Pharmaceutical Biotechnology,388 ,422,398,,,,,466,
CR333,Nutrition and Health Science,360 ,393,402,,,,,425,
CR335,Biological Sciences (Common Entry),381 ,419,420,,,,,473,
CR340,Analytical Chemistry with Quality Assurance,288 ,315,251,,,,,327,
CR360,Instrument Engineering,291 ,329,261,,,,,301,
CR365,Environmental Science and Sustainable Technology,334 ,362,253,,,,,262,
CR370,Agri-Biosciences,408 ,431,397,,,,,368,
CR400,Accounting,316 ,389,316,,,,,315,
CR420,Marketing,288 ,329,285,,,,,290,
CR425,International Business with Language,300 ,392,298,,,,,279,
CR430,Sport and Exercise Management,,,322,,,,,402,
CR435,Coaching Science and Sports Pedagogy,,,,,,,,410,
CR440,Montessori Education,,,288,,,,,409,408
CR500,Engineering (Common Entry),381 ,424,411,,,,,475,
CR510,Sustainable Energy Engineering,319 ,343,320,,,,,320,
CR520,Biomedical Engineering,434 ,477,444,,,,,444,
CR560,Architectural Technology,288 ,332,308,,,,,375,
CR565,Interior Architecture,336 ,390,359,,,,,431,
CR570,Quantity Surveying,279 ,342,336,,,,,375,
CR572,Construction Management,253 ,300,269,,,,,300,
CR580,Electrical Engineering,344 ,374,318,,,,,342,
